Year,Datatype,Zone,State,Region ,RoadType,RoadSubType,length,resolution,Month,Date,UID,From,To,Long,Lat,Altitude,CalcIRI,AvgSpeed,Time,RoadConstruction,MeasurmentDirection,LaneID,PhotoAvialabilty ,SpdAvilability,NumberofLanes,DividerPresense,RoadConditionRemarks1,RoadConditionRemarks2,RoadConditionRemarks3,DataBaseUID,RC_Max,RC_Min,RC_Avg,PatchID,AvgIRI,IRI_LH,IRI_RH
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08497,12.89049,39.7,36.45,7.6,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08493,12.89041,40.3,54.45,9.1,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08488,12.89034,40.2,59.7,12.9,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08483,12.89025,40.1,22.95,14.3,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08478,12.89017,40.1,14.7,19.8,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08472,12.89009,39.5,7.95,23.9,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08469,12.89001,39.6,4.95,26.8,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08465,12.88992,39.5,4.2,31.7,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08462,12.88984,39.6,1.95,33.9,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08458,12.88975,39.6,3.45,33.7,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08454,12.88967,39.5,7.95,33.3,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.0845,12.88958,39.5,7.95,35,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08447,12.8895,39.3,5.7,37,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08443,12.88941,38.9,5.7,38.6,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.0844,12.88933,38.6,5.7,39.8,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08436,12.88924,38.5,9.45,41,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08433,12.88916,38.7,10.95,42.1,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08429,12.88908,38.8,6.45,42.9,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08426,12.88899,39.1,3.45,44,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08423,12.8889,39.1,13.95,45.1,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.0842,12.88882,39.2,21.45,46,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08417,12.88873,39.2,19.95,47.1,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
2019,Roughness,South,Tamilnadu,Chennai,NationalHighway,,21.4,5,Aug,1,R1P1FS1,Venkatesapuram,Madhuramtakam,80.08413,12.88864,39.1,13.95,48.1,,Asphalt,Fro,1,Yes,No,2,,Good,Good,Good,Na,Na,Na,Na,Na,Na,Na,Na
